specobjid,ra,dec,z,plate,mjd,fiberid,class,subclass
5.32679E+17,139.66555,1.9479649,4.24E-05,473,51929,465,STAR,WD
5.32692E+17,140.13466,2.2036748,0.000186689,473,51929,513,STAR,WD
5.48323E+17,151.70415,62.797263,0.000106213,487,51943,36,STAR,WD
5.48405E+17,147.13852,63.694696,-0.000108102,487,51943,333,STAR,WD
5.48409E+17,146.71748,63.311591,-0.000488363,487,51943,350,STAR,WD
5.48414E+17,148.91027,64.008911,-0.000437426,487,51943,366,STAR,WD
7.31986E+17,0.7846892,-9.6963886,-7.15E-05,650,52143,550,STAR,WD
7.32967E+17,3.5649505,-10.584965,-5.50E-05,651,52141,23,STAR,WD
4.07668E+17,263.2124,55.119898,-2.85E-05,362,51999,337,STAR,WD
4.0769E+17,264.09082,55.168875,0.000316052,362,51999,416,STAR,WD
4.07699E+17,264.41532,55.838865,-0.000150963,362,51999,447,STAR,WD
4.50376E+17,23.940092,-0.96115202,0.000105152,400,51820,60,STAR,WD
4.17838E+17,327.61292,0.57839475,-3.38E-05,371,52078,469,STAR,WD
4.17841E+17,327.90862,0.53949782,0.000544944,371,52078,481,STAR,WD
4.17852E+17,328.29985,0.32589761,-1.89E-05,371,52078,519,STAR,WD
4.17879E+17,328.92692,0.85774796,-0.000355451,371,52078,618,STAR,WD
4.18894E+17,329.63012,-1.0357946,3.96E-05,372,52173,217,STAR,WD
4.18904E+17,329.42383,-0.83249433,-2.68E-05,372,52173,251,STAR,WD
4.18911E+17,329.1322,-0.43393673,-0.000188679,372,52173,277,STAR,WD
4.18915E+17,329.11774,-0.77142699,-0.000162738,372,52173,291,STAR,WD
4.18946E+17,329.41304,0.87009311,-1.76E-05,372,52173,404,STAR,WD
4.18971E+17,330.04666,0.025325702,4.83E-05,372,52173,496,STAR,WD
4.04213E+17,261.70601,53.111339,-0.00028932,359,51821,55,STAR,WD
4.0422E+17,263.05625,53.603404,-0.00108267,359,51821,80,STAR,WD
4.04233E+17,261.23624,52.708029,-0.000992591,359,51821,127,STAR,WD
4.04245E+17,261.26713,53.664137,-0.00045282,359,51821,171,STAR,WD
