specobjid,ra,dec,z,plate,mjd,fiberid,class,subclass
6463832147442507776,147.75982,46.692394,-0.0001323571,5741,55980,148,STAR,K4III
6138459718362832896,212.34042,8.1863931,0.000278004,5452,55957,194,STAR,K2III
6140680183068205056,213.86467,17.037021,0.000164414,5454,56015,80,STAR,K4III
6967132224492642304,9.76117199999999,21.814455,-0.0002784318,6188,56208,231,STAR,K4III
6793710926606344192,243.26991,43.841638,-0.0003997139,6034,56103,112,STAR,K1III
6970486560262168576,7.87057110000001,14.26395,-0.000361006,6191,56248,146,STAR,K2III
8170704663928086528,87.082203,-0.482097,5.153119e-05,7257,56658,178,STAR,K4III
8170705213683900416,87.251642,-0.364242,-1.138169e-05,7257,56658,180,STAR,K4III
8170706313195528192,87.102453,-0.28712201,-5.014227e-05,7257,56658,184,STAR,K4III
8170706588073435136,87.137405,-0.181445,-1.888046e-05,7257,56658,185,STAR,K4III
8170718132945526784,86.906289,-0.136831,0.0002356471,7257,56658,227,STAR,K4III
8170720881724596224,86.849512,-0.047104998,9.982382e-05,7257,56658,237,STAR,K4III
8170721981236224000,86.869821,-0.80739,0.0001470429,7257,56658,241,STAR,K5III
8170724180259479552,86.871587,-0.43717899,2.600708e-05,7257,56658,249,STAR,K4III
8170731052207153152,86.407601,-0.033974998,9.305583e-05,7257,56658,274,STAR,K4III
8170733251230408704,86.538578,-0.901375,2.146562e-05,7257,56658,282,STAR,K2III
8197868104547540992,121.30715,55.19147,6.258755e-05,7281,57007,694,STAR,K3III
8197883772588236800,121.65602,56.099897,-0.0001396792,7281,57007,751,STAR,K1III
8173147228086444032,85.521922,-1.096467,4.136979e-05,7259,56603,872,STAR,K2III
8173149152231792640,85.513445,-1.132878,2.12011e-05,7259,56603,879,STAR,K5III
8173153550278303744,85.853706,-1.680513,0.0002520536,7259,56603,895,STAR,K5III
8173154649789931520,85.841375,-1.919528,5.558761e-05,7259,56603,899,STAR,K2III
8173155749301559296,85.647389,-0.89450699,3.498585e-05,7259,56603,903,STAR,K4III
8173157123691094016,85.625372,-0.99542501,3.685834e-05,7259,56603,908,STAR,K4III
8173159322714349568,85.696793,-1.14656,0.000115292,7259,56603,916,STAR,K5III
8173160422225977344,85.620389,-1.132543,3.527374e-05,7259,56603,920,STAR,K2III
8173165095150395392,85.975449,-1.949409,0.0001005585,7259,56603,937,STAR,K5III
8173168668563185664,85.802676,-1.003365,6.285552e-05,7259,56603,950,STAR,K5III
8173175540510859264,86.09075,-2.127073,5.781962e-05,7259,56603,975,STAR,K5III
8173179663679463424,86.175621,-1.821639,0.0003244716,7259,56603,990,STAR,K2III
8858628688213680128,9.51721099999997,-0.5122585,-0.0002406219,7868,57006,175,STAR,K1III
8660428249262694400,32.283798,24.701542,-0.000246379,7692,57064,22,STAR,K4III
8660555517733609472,29.323887,24.340194,-0.0001834816,7692,57064,485,STAR,K4III
9496089529011904512,219.13026,49.52118,-0.0001350275,8434,57484,908,STAR,M0III
9418332615880974336,161.58531,41.928265,-0.00039556,8365,57450,654,STAR,K4III
9419292764107939840,166.52312,40.921836,5.784454e-05,8366,57432,51,STAR,M0III
4143478870358597632,118.6514,41.651363,-0.0004311478,3680,55210,608,STAR,K4III
4143501685224873984,119.14594,41.627255,-0.0001589938,3680,55210,691,STAR,M2III
4063629861897347072,31.871102,0.21283932,-8.341323e-05,3609,55201,935,STAR,M2III
4942759514703110144,34.154577,-4.8441318,-0.0004163278,4390,55948,214,STAR,K1III
5386402831237357568,209.10412,4.1983112,0.0001490381,4784,55677,355,STAR,K2III
5388684592306692096,203.8923,3.8696291,8.788474e-05,4786,55651,464,STAR,K4III
5464255130642653184,162.64586,7.38087,0.0007246177,4853,55928,956,STAR,K4III
6136392087233339392,211.57514,11.016601,-0.0002783568,5450,55986,864,STAR,K4III
5778165699198296064,17.768926,16.119735,-1.896232e-05,5132,55858,172,STAR,K4III
6183483620897824768,231.54814,12.312327,-0.0001339652,5492,56010,150,STAR,K1III
6585646491817189376,185.25806,17.272657,-5.417774e-05,5849,56033,938,STAR,K1III
7111265284246183936,243.54102,49.867637,-0.0002910939,6316,56483,296,STAR,K4III
7113485193239830528,251.09581,47.308434,-0.0001141933,6318,56186,180,STAR,K4III
8388146833289879552,109.91297,0.41323533,0.0003821237,7450,56722,700,STAR,K1III
8388169098400342016,110.27303,1.4248066,9.15405e-05,7450,56722,781,STAR,K4III
8393591890520285184,119.15807,22.760857,0.0003327773,7455,56768,29,STAR,K4III
8063756266516750336,24.283841,-7.9239441,-0.0004300328,7162,56605,222,STAR,K2III
8857544844576268288,7.57918690000002,-3.0994215,-0.0004596637,7867,57003,328,STAR,K1III
8857556389448359936,7.40535729999999,-2.8429142,-6.482483e-05,7867,57003,370,STAR,K5III
5951728563602300928,131.2449,18.064034,2.218938e-06,5286,56225,806,STAR,K2III
5657884349430734848,339.5045,19.500518,-0.0003481901,5025,55836,863,STAR,K5III
5644184707530727424,255.63347,27.409707,-5.58564e-05,5013,55723,176,STAR,M0III
6462876122384146432,145.66693,49.084283,-0.0003632504,5740,55998,766,STAR,K4III
6105986192209059840,198.22731,8.086366,-4.896296e-06,5423,55958,840,STAR,K1III
6113665182122090496,202.32722,9.6323348,-2.633889e-05,5430,56000,104,STAR,K1III
6113675352604647424,202.16758,9.7624531,-0.0001078125,5430,56000,141,STAR,K2III
6177861817475244032,228.57356,7.3714148,6.677156e-05,5487,55982,178,STAR,K1III
5990998716202328064,147.26626,10.821723,3.368201e-05,5321,55945,310,STAR,K4III
6926791142131343360,359.52868,9.2427099,0.004517681,6152,56164,927,STAR,M0III
7554864073982058496,217.89361,54.953342,-0.000109032,6710,56416,275,STAR,K1III
8246264207147769856,120.67663,48.585688,3.195177e-05,7324,56935,630,STAR,M0III
8252973148011470848,38.139554,-0.49333676,-0.0004540971,7330,56684,461,STAR,K1III
8253000910680072192,38.13206,0.31307051,-0.0004065066,7330,56684,562,STAR,K1III
8626785397408505856,4.04567379999997,26.414438,-4.43404e-06,7662,57358,510,STAR,M2III
4283082488304082944,121.83983,36.954541,5.744045e-05,3804,55267,579,STAR,K1III
4060134788991787008,26.84282,0.10952,-0.000538496,3606,55182,508,STAR,K3III
5130998648117633024,157.7585,42.880931,-0.0001731888,4557,55588,992,STAR,K1III
5359532690847539200,198.64534,5.5439699,0.0006406392,4760,55656,906,STAR,K4III
6537080792987705344,144.78875,31.320619,-0.0002180579,5806,56310,385,STAR,K4III
6968298257060438016,4.76396640000002,9.8942305,-8.396685e-05,6189,56237,377,STAR,K2III
7281355331443073024,149.19856,26.050181,0.0003000143,6467,56270,584,STAR,K2III
9341763999941763072,136.97165,42.622405,-7.959003e-05,8297,57416,627,STAR,K1III
9341852510627799040,138.76799,42.567826,-0.0001806365,8297,57416,949,STAR,K3III
8875582613210767360,34.180729,-4.6149202,-0.0001328603,7883,57331,413,STAR,K2III
4115324226365267968,109.6036,40.788894,-0.0001557499,3655,55240,582,STAR,K3III
4109718366398160896,39.75455,0.90413001,-0.0005228118,3650,55244,668,STAR,K1III
4109743655165599744,40.11942,0.71265998,-0.0004921012,3650,55244,760,STAR,K2III
4593686278508093440,323.0691,2.8708472,1.998545e-05,4080,55368,53,STAR,K1III
4527309315522928640,220.40174,1.9223579,0.0002237276,4021,55620,239,STAR,K5III
4984450249516883968,333.38409,4.8853502,-0.000109049,4427,56107,332,STAR,K3III
5057713998717231104,115.8201,18.796639,9.101092e-05,4492,55565,624,STAR,K1III
5057731041147461632,116.00461,17.888236,0.0002224289,4492,55565,686,STAR,K4III
5226488489881608192,140.94741,37.806558,-0.0003345381,4642,55926,222,STAR,K2III
4933948574817820672,319.15501,-2.2552015,7.777406e-05,4382,55742,928,STAR,K3III
5383164494212997120,216.92868,5.8927051,-3.698034e-05,4781,55653,862,STAR,K4III
5385453677405249536,213.24068,4.6032381,3.840546e-05,4783,55652,998,STAR,K4III
5386334936394342400,210.25474,4.0046446,0.000117371,4784,55677,108,STAR,K4III
5448463391113846784,201.97636,6.3935208,6.239284e-05,4839,55703,850,STAR,K1III
5472132577723654144,218.25264,7.8039518,-3.86579e-06,4860,55691,942,STAR,K4III
5474377230611095552,213.64425,7.629706,-1.838319e-06,4862,55685,916,STAR,K4III
5474388775483187200,214.00837,7.5978407,-0.0002394966,4862,55685,958,STAR,K4III
5357058790121250816,196.46735,3.6079594,0.0001834241,4758,55682,98,STAR,K1III
5953784369428537344,132.67892,11.813872,0.0002943773,5288,55865,93,STAR,K3III
8394800527989252096,197.66627,-1.1264215,0.0001016571,7456,56727,330,STAR,K4III
9070450980714160128,248.76349,49.399979,-8.454935e-05,8056,57186,732,STAR,M2III
9071391612978831360,252.54571,51.807589,-0.001096001,8057,57190,58,STAR,K4III
8866522356631183360,18.348288,-2.5562228,0.0001123564,7875,56980,220,STAR,K2III
8866546820764901376,17.930454,-2.2248804,-4.276941e-05,7875,56980,309,STAR,K4III
8824986380377497600,31.379062,-1.0382099,2.222081e-05,7838,56958,665,STAR,M2III
8645790456045608960,19.036189,25.789524,-5.516985e-05,7679,57367,18,STAR,K5III
8541138936277213184,337.69485,22.484017,-0.000140479,7586,57186,226,STAR,K4III
